date,inflation,bi_rate,exchange_rate,oil_price
2025-01-01,-0.76,5.75,16259.4782608696,79.27045454545454
2025-02-01,-0.48,5.75,16337.9,75.438
2025-03-01,1.65,5.75,16468.7142857143,72.73285714285714
2025-04-01,1.17,5.75,16768.4090909091,68.1345
2025-05-01,-0.37,5.5,16444.6818181818,64.453
2025-06-01,0.19,5.5,16309.1428571429,71.4447619047619
2025-07-01,0.3,5.25,16276.4347826087,71.04130434782608
2025-08-01,-0.08,5.0,16299.2857142857,67.87
2025-09-01,0.21,4.75,16508.1818181818,67.98545454545454
2025-10-01,0.28,4.75,16607.347826087,64.54347826086956
2025-11-01,0.17,4.75,16703.05,63.797
2025-12-01,0.64,4.75,16707.1304347826,62.54428571428572
