Jenis Uang,,,,,,,,,,,,,
,Uang Beredar (Milyar Rupiah),,,,,,,,,,,,
,2011,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
i. Uang Kartal,247480.97,245326.65,241617.68,252012.69,254065.51,261503.76,275436.75,324724.88,279223.58,281340.94,279066.19,307759.79,307759.79
ii. Uang Giral,356688.19,340563.43,338983.53,332621.12,357725,374702.38,364251.22,338081.36,376872.16,383659.01,388521.04,415231.38,415231.38
Jumlah (M1 = i+ii),604169.16,585890.08,580601.21,584633.81,611790.51,636206.14,639687.98,662806.24,656095.74,664999.95,667587.23,722991.17,722991.17
iii. Komposisi Uang Kartal (%),-,-,-,-,-,-,-,-,-,-,-,-,-
iv. Komposisi Uang Giral (%),-,-,-,-,-,-,-,-,-,-,-,-,-
v. Uang Kuasi,1822268.26,1823770.86,1862788.01,1841376.93,1853915.21,1876446.38,1914443.67,1943769.95,1973572.91,1999733.31,2047205.27,2139840.3,2139840.3
vi. Surat Berharga Selain Saham,10241.52,10530.2,7967.7,8467.65,9580.26,10131.3,10424.49,14769.55,13662.8,12471.76,14745.77,14388.1,14388.1
Jumlah (M2 = M1 + v + vi),2436678.95,2420191.14,2451356.92,2434478.39,2475285.98,2522783.81,2564556.13,2621345.74,2643331.45,2677205.02,2729538.27,2877219.57,2877219.57
