Jenis Uang,,,,,,,,,,,,,
,Uang Beredar (Milyar Rupiah),,,,,,,,,,,,
,2010,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
i. Uang Kartal,211708.21,205083.05,211390.29,214694.87,222828.06,228238.83,241166.31,229824.67,235709,238500.01,260226.78,307759.79,260226.78
ii. Uang Giral,278375.58,289377.79,283327.4,299310.16,322577.31,311507.03,314328.47,320116.57,319839.88,332837.15,345183.75,415231.38,345183.75
Jumlah (M1 = i+ii),490083.79,494460.84,494717.69,514005.04,545405.37,539745.86,555494.78,549941.24,555548.88,571337.17,605410.53,722991.17,605410.53
iii. Komposisi Uang Kartal (%),-,-,-,-,-,-,-,-,-,-,-,-,-
iv. Komposisi Uang Giral (%),-,-,-,-,-,-,-,-,-,-,-,-,-
v. Uang Kuasi,1568632.08,1611373.11,1615202.72,1622981.36,1680373.99,1672443.26,1676517.13,1720038.8,1747976.25,1769653.84,1856720.28,2139840.3,1856720.28
vi. Surat Berharga Selain Saham,7765.12,6248.75,6103.13,6247.65,5364.98,5399.69,4447.54,4974.52,5320.85,6815.86,9074.99,14388.1,9074.99
Jumlah (M2 = M1 + v + vi),2066480.99,2112082.7,2116023.54,2143234.05,2231144.33,2217588.81,2236459.45,2274954.57,2308845.97,2347806.86,2471205.79,2877219.57,2471205.79
