date,actual,forecast,model,order
2024-01-01,0.04,0.2904760410676682,SARIMAX,"(3, 0, 1)"
2024-02-01,0.37,0.22893335084133054,SARIMAX,"(3, 0, 1)"
2024-03-01,0.52,0.2510292415457261,SARIMAX,"(3, 0, 1)"
2024-04-01,0.25,0.3037672497481394,SARIMAX,"(3, 0, 1)"
2024-05-01,-0.03,0.2916428371482417,SARIMAX,"(3, 0, 1)"
2024-06-01,-0.08,0.28568785985854595,SARIMAX,"(3, 0, 1)"
2024-07-01,-0.18,0.28356786536421363,SARIMAX,"(3, 0, 1)"
2024-08-01,-0.03,0.265306068982151,SARIMAX,"(3, 0, 1)"
2024-09-01,-0.12,0.2410208419292263,SARIMAX,"(3, 0, 1)"
2024-10-01,0.08,0.24745052874826506,SARIMAX,"(3, 0, 1)"
2024-11-01,0.3,0.2468513216293075,SARIMAX,"(3, 0, 1)"
2024-12-01,0.44,0.24737541080631856,SARIMAX,"(3, 0, 1)"
2025-01-01,-0.76,0.2571570430338965,SARIMAX,"(3, 0, 1)"
2025-02-01,-0.48,0.24877880379244804,SARIMAX,"(3, 0, 1)"
2025-03-01,1.65,0.24362461002791203,SARIMAX,"(3, 0, 1)"
2025-04-01,1.17,0.23656305962795754,SARIMAX,"(3, 0, 1)"
2025-05-01,-0.37,0.21734254514022178,SARIMAX,"(3, 0, 1)"
2025-06-01,0.19,0.23018121689958254,SARIMAX,"(3, 0, 1)"
2025-07-01,0.3,0.2229010236630192,SARIMAX,"(3, 0, 1)"
2025-08-01,-0.08,0.21014886442558828,SARIMAX,"(3, 0, 1)"
2025-09-01,0.21,0.2076810196086338,SARIMAX,"(3, 0, 1)"
2025-10-01,0.28,0.2003089298158163,SARIMAX,"(3, 0, 1)"
2025-11-01,0.17,0.19903507665816295,SARIMAX,"(3, 0, 1)"
2025-12-01,0.64,0.1952350367078854,SARIMAX,"(3, 0, 1)"
