Jenis Uang,,,,,,,,,,,,,
,Uang Beredar (Milyar Rupiah),,,,,,,,,,,,
,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
i. Uang Kartal,1010242.55,1008991.54,1088916.19,1025259.23,1033652.99,1039226.58,1042743.28,1082404.7,1095877.15,1108930.71,1148382.25,1214729.31,-
ii. Uang Giral,1780132.08,1765908.06,1753788.37,1777229.19,1802365.38,1915886.1,1897512.38,1972248.99,1991272.6,1996299.78,2089301.9,2172153.25,-
Jumlah (M1 = i+ii),2790374.63,2774899.6,2842704.56,2802488.42,2836018.37,2955112.68,2940255.67,3054653.69,3087149.76,3105188.62,3237711.61,3386882.56,-
iii. Komposisi Uang Kartal (%),36,36,38,37,36,35,35,35,35,36,35,36,-
iv. Komposisi Uang Giral (%),64,64,62,63,64,65,65,65,65,64,65,64,-
v. Uang Kuasi,6300701.47,6398740.29,6487194.63,6481898.46,6465250.33,6575650.95,6578362.35,6552285.07,6635979.29,6635274.61,6611249.49,6693747.69,-
vi. Surat Berharga Selain Saham,107276.24,107439.4,106801.27,103508.31,103031.19,64489.96,56275.26,47408.72,50280.93,43343.09,44403.61,52469.16,-
Jumlah (M2 = M1 + v + vi),9198352.34,9281079.29,9436700.45,9387895.19,9404299.89,9595253.6,9574893.28,9654347.48,9773409.97,9783069.71,9891575.05,10133099.4,-
