Jenis Uang,,,,,,,,,,,,,
,Uang Beredar (Milyar Rupiah),,,,,,,,,,,,
,2018,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
i. Uang Kartal,532131.48,531209.28,549216.35,549587.19,580625.14,605972.86,583305.87,587788.32,590804.87,581591.77,586235.77,625370.48,-
ii. Uang Giral,794610.51,820048.72,811919.13,822988.96,824001.95,846381.59,800196.75,796476.53,820867.78,828985.83,819028.07,831779.2,-
Jumlah (M1 = i+ii),1326741.99,1351258,1361135.48,1372576.15,1404627.09,1452354.45,1383502.62,1384264.85,1411672.64,1410577.6,1405263.84,1457149.68,-
iii. Komposisi Uang Kartal (%),-,-,-,-,-,-,-,-,-,-,-,-,-
iv. Komposisi Uang Giral (%),-,-,-,-,-,-,-,-,-,-,-,-,-
v. Uang Kuasi,4006565.08,3983462.85,4018929.3,4020982.22,4015794.48,4066586.26,4107207.5,4128708.4,4177275.85,4237683.56,4246310.07,4282363.78,-
vi. Surat Berharga Selain Saham,18377.6,16929.47,15761.26,15530.45,14661.37,15209.12,17081.62,16478.55,17831.4,19250.94,19401.33,20532.73,-
Jumlah (M2 = M1 + v + vi),5351684.67,5351650.33,5395826.04,5409088.81,5435082.93,5534149.83,5507791.75,5529451.81,5606779.89,5667512.1,5670975.24,5760046.2,-
