Jenis Uang,,,,,,,,,,,,,
,Uang Beredar (Milyar Rupiah),,,,,,,,,,,,
,2022,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
i. Uang Kartal,765015.11,795951.08,792518.36,896317.73,820154.68,815316.13,822042.79,805459.05,807817.51,808648.98,840492.4,897798.61,-
ii. Uang Giral,1384536.39,1399666.7,1462072.64,1430890.76,1482756.49,1524133.66,1474002.63,1473704.43,1513065.06,1730418.33,1627458.95,1710998.06,-
Jumlah (M1 = i+ii),2149551.5,2195617.78,2254591,2327208.49,2302911.17,2339449.79,2296045.42,2279163.49,2320882.57,2539067.31,2467951.34,2608796.66,-
iii. Komposisi Uang Kartal (%),-,-,-,-,-,-,-,-,-,-,-,-,-
iv. Komposisi Uang Giral (%),-,-,-,-,-,-,-,-,-,-,-,-,-
v. Uang Kuasi,5474169.65,5470960.79,5529750.57,5556188.93,5524848.22,5526502.54,5530342.39,5598840.36,5620748.97,5657949.27,5805020.6,5894662.36,-
vi. Surat Berharga Selain Saham,23068.05,23555.92,26607.74,28087.07,26427.32,24794.68,19164.09,19624.36,21061.82,26038.44,24377.57,24563.28,-
Jumlah (M2 = M1 + v + vi),7646789.19,7690134.5,7810949.32,7911484.49,7854186.71,7890747.01,7845551.91,7897628.21,7962693.36,8223055.02,8297349.51,8528022.31,-
