Jenis Uang,,,,,,,,,,,,,
,Uang Beredar (Milyar Rupiah),,,,,,,,,,,,
,2012,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
i. Uang Kartal,286241.88,280102.64,287046.49,290860.56,294768.07,314669.88,315374.93,327059.39,325565.66,326119.07,327069.16,361966.71,-
ii. Uang Giral,410081.51,403150.11,427211.92,430063.66,454681.67,464746.03,456417.26,445369.69,469951.86,448864.18,474333.98,479754.78,-
Jumlah (M1 = i+ii),696323.38,683252.75,714258.41,720924.22,749449.74,779415.91,771792.19,772429.08,795517.52,774983.25,801403.14,841721.5,-
iii. Komposisi Uang Kartal (%),-,-,-,-,-,-,-,-,-,-,-,-,-
iv. Komposisi Uang Giral (%),-,-,-,-,-,-,-,-,-,-,-,-,-
v. Uang Kuasi,2145246.04,2150808.01,2182890.51,2190885.3,2227526.53,2254328.9,2270111.89,2304473.8,2318558.56,2376102.15,2393319.58,2452502.71,-
vi. Surat Berharga Selain Saham,13408.79,15734.74,14771.02,15449.87,15080.76,16610.07,12932.37,12108.31,11457.3,10640.19,10406.4,10420.42,-
Jumlah (M2 = M1 + v + vi),2854978.21,2849795.5,2911919.94,2927259.39,2992057.03,3050354.88,3054836.46,3089011.2,3125533.38,3161725.6,3205129.12,3304644.62,-
